Date,Open,High,Low,Close,Volume
2010-10-28,53.16414076746618,53.37365370030045,52.28118932995085,52.51314926147461,1899400
2010-10-29,52.41584118942318,53.0294168055088,52.34101029989453,52.73759460449219,1205800
2010-11-01,52.804956751451144,53.41853261383805,52.59544387777722,52.745094299316406,973100
2010-11-02,53.15663246120106,53.38859228768857,52.887257181307405,53.19404220581055,693500
2010-11-03,53.164105628500394,53.30627176250182,52.16142991563011,52.78248977661133,1369300
2010-11-04,53.26138166407612,54.166779567630144,53.066831608556676,54.0620231628418,1509400
2010-11-05,54.09945811927264,54.219177321288576,53.43350400206471,53.71784210205078,944500
2010-11-08,53.403555697095236,54.10691934241403,53.36614024723102,54.00216293334961,751600
2010-11-09,54.00216621539079,54.114406863008824,53.02194302437266,53.26887130737305,779000
2010-11-10,53.403556542359965,53.53824417168835,52.68522442220736,52.894737243652344,1153000
2010-11-11,52.610376090127424,53.79263314376484,52.56548213149122,53.72529220581055,1137700
2010-11-12,53.373633646244826,53.65048747112539,52.91719248172609,53.2763557434082,834500
2010-11-15,53.583133289588616,53.93481794034345,53.30627382416986,53.42599868774414,698100
2010-11-16,53.17159363558062,53.306281271520874,52.498161164675864,52.99201202392578,1110100
2010-11-17,52.89474691509735,53.31377263460332,52.595440383108546,53.18656921386719,1130400
2010-11-18,53.56816664701457,54.5633582012997,53.36613806886446,54.0620231628418,1185300
2010-11-19,54.099429749024694,54.51097106933594,53.92732670718165,54.51097106933594,1095100
2010-11-22,54.204181049757004,54.79530958663626,53.9348058757666,54.53341293334961,718200
2010-11-23,54.076987525931784,54.17426541098391,53.650477662661274,54.12188720703125,656100
2010-11-24,54.481044573616195,55.805473702814176,54.39873516066964,55.53609848022461,1240600
2010-11-26,55.266726750555705,55.65582114733438,55.1470018845956,55.453792572021484,323300
2010-11-29,55.33407495559514,55.42386861682943,54.57833304819365,55.01232147216797,1544800
2010-11-30,54.585821000200994,55.498703399642025,54.52596425783576,55.154502868652344,2224300
2010-12-01,55.76807505558454,56.49389152903398,55.573524956491546,56.16465377807617,1414600
2010-12-02,56.15716172227022,56.73332193881897,56.00750564026055,56.72583770751953,1385400
2010-12-03,56.60611229939152,57.18227245231182,56.463940464382084,57.1298942565918,751800
2010-12-06,57.10745046490433,57.22717532397996,56.68094064483954,56.82311248779297,1398600
2010-12-07,57.212224365012545,57.42922145687595,56.90543931016927,57.18977737426758,1192200
2010-12-08,57.19726825683727,57.750981691840835,57.00271813310167,57.72853469848633,1110400
2010-12-09,57.863198357128105,58.409427331423636,57.6761325450661,58.18495178222656,1288400
2010-12-10,58.54546381440809,58.740742149934604,58.01220881330966,58.67314910888672,1058400
2010-12-13,58.853429564900686,58.95106591173673,58.36523637038278,58.6356201171875,897100
2010-12-14,58.83839420830236,59.11629015519071,58.598053781052464,58.928524017333984,736300
2010-12-15,58.80082637771239,59.49180417778082,58.74073985679356,58.973567962646484,1169100
2010-12-16,59.07912863388314,59.97620473581756,58.88312634840263,59.70481872558594,1195200
2010-12-17,59.25248702705427,59.915877344037035,58.88310289690257,59.55402755737305,2765000
2010-12-20,59.65956588027354,59.77264429806899,58.98864121980306,59.55402755737305,1301700
2010-12-21,59.7651264524371,60.76774664465277,59.63697354855042,60.33051300048828,959900
2010-12-22,60.22496344753491,60.48880930398346,59.976192032279855,60.24004364013672,842100
2010-12-23,60.06666082077307,60.36066133493722,59.94604227577815,60.08927536010742,637700
2010-12-27,59.93096232718719,60.35311569306642,59.78019491120411,60.1269645690918,536900
2010-12-28,60.12699939539127,60.48130935472129,59.71238013417283,60.0742301940918,675200
2010-12-29,60.30789393075504,61.07681704775223,60.02143350509118,60.684818267822266,1035400
2010-12-30,60.684832605866895,60.78283088615127,60.1043715202574,60.36821746826172,839700
2010-12-31,60.247576135221486,60.677269588647,60.036499456543424,60.45111846923828,1182100
2011-01-03,60.993889525712525,61.85327642083584,60.993889525712525,61.446197509765625,1718400
2011-01-04,60.54911555864672,60.96373456344034,60.34557897991677,60.64711380004883,1758900
2011-01-05,59.71236044801658,60.67728595446541,59.67467146032043,60.217437744140625,1984100
2011-01-06,60.149585101794635,60.50389489121999,59.697277057353055,60.03650665283203,1618600
2011-01-07,60.240051747125264,60.57174126069515,59.67466522804334,59.976200103759766,1782400
2011-01-10,59.734952865379825,60.17972646616611,59.32787398973745,59.99126434326172,1533300
2011-01-11,60.089282156359715,60.3757426060089,59.508821159294165,59.938514709472656,764600
2011-01-12,60.24004144338033,60.27019032466789,59.961115404501484,60.119422912597656,616500
2011-01-13,60.02142003072492,60.27772576171559,59.64449577827442,59.840492248535156,596800
2011-01-14,59.79527634082472,60.05158787964233,59.41835200540565,59.46358108520508,1479100
2011-01-18,59.59926832666509,59.92342345391165,59.53142471351059,59.80281066894531,924700
